,Tony Chiu-Wai Leung,Shun Lau,Ting Yip Ng,Ziyi Zhang,Chang Chen,To-Hoi Kong,Siu Ping-Lam,Charlie Yeung,Gong Li,Faye Wong,Carina Lau,Maggie Cheung,Rebecca Pan,Man-Lei Chan,Leslie Cheung,Takeshi Kaneshiro,Lee-Na Kwan,Brigitte Lin,Jacky Cheung,Andy Lau
The Grandmaster,Ip Man,Master Rui,Brother Sau,Gong Er,Razor,Brother Hoi,Brother Ping,Zhang Yongcheng,,,,,,,,,,,,
2046,Chow Mo-wan,,Wan's Party Friend,Bai Ling,Mimi's Boyfriend,Brother Hoi,Ah Ping,,Su Li-zhen,Wang Jing-wen / Android,Lulu / Mimi / Android,Su Li-zhen,,,,,,,,
In the Mood for Love,Chow Mo-wan,,,,,,Ah Ping,,,,,Su Li-zhen - Mrs. Chan,Mrs. Suen,Mr. Koo,,,,,,
Happy Together,Lai Yiu-fai,,,,Chang,,,,,,,,,,Ho Po-wing,,,,,
Ashes of Time,Blind Swordsman,Leader of Ouyang's Opponents in Opening Battle,,,,,,Young Girl,,,Peach Blossom,The Woman,,,Ou-yang Feng,,,Mu-rong Yin / Mu-rong Yang,Hung Chi,
Chungking Express,Cop 663,,,,,,,,,Faye,,,,,,"He Zhiwu, Cop 223",Richard,Woman in Blonde Wig,,
Days of Being Wild,Chow Mo-wan,,,,,,,,,,Leung Fung-ying,Su Li-zhen,Rebecca,,Yuddy,,,,Zeb,Tide
Eros,,,,,Zhang,,,,Miss Hua,,,,,,,,,,,
Fallen Angels,,,,,,Ah-hoi,,Charlie / Cherry,,,,,,He Zhiwu's father,,He Zhiwu,Woman Pressed to Buy Vegetables,,,
As Tears Go By,,,,,,Fat Carl,,,,,,Ngor,,,,,,,Fly,Wah
